Dataset                      Metric                    metric valor    p    k
../datasets_2/kemerer.arff   RMSE                      61.6538         2    5
../datasets_2/kemerer.arff   R2 Score                   0.550014       2    5
../datasets_2/kemerer.arff   MAE                       77.8            1    6
../datasets_2/kemerer.arff   Median Absolute Error     73.8333         1    6
../datasets_2/kemerer.arff   RMSE                      78.8747         1    6
../datasets_2/kemerer.arff   R2 Score                  -2.24571        1    6
../datasets_2/kemerer.arff   MAE                       68.7278         2    6
../datasets_2/kemerer.arff   Median Absolute Error     66.4333         2    6
../datasets_2/kemerer.arff   RMSE                      75.5845         2    6
../datasets_2/kemerer.arff   R2 Score                 -14.0951         2    6
../datasets_2/kemerer.arff   MAE                      122.868          1    7
../datasets_2/kemerer.arff   Median Absolute Error    100.529          1    7
../datasets_2/kemerer.arff   RMSE                     136.894          1    7
../datasets_2/kemerer.arff   R2 Score                  -2.32494        1    7
../datasets_2/kemerer.arff   MAE                       93.7767         2    7
../datasets_2/kemerer.arff   Median Absolute Error     35.8429         2    7
../datasets_2/kemerer.arff   RMSE                     125.161          2    7
../datasets_2/kemerer.arff   R2 Score                  -2.1544         2    7
../datasets_2/kemerer.arff   MAE                       67.5625         1    8
../datasets_2/kemerer.arff   Median Absolute Error     59.45           1    8
../datasets_2/kemerer.arff   RMSE                      70.3486         1    8
../datasets_2/kemerer.arff   R2 Score                   0.210446       1    8
../datasets_2/kemerer.arff   MAE                       50.6            2    8
../datasets_2/kemerer.arff   Median Absolute Error     57.425          2    8
../datasets_2/kemerer.arff   RMSE                      52.3277         2    8
../datasets_2/kemerer.arff   R2 Score                   0.383098       2    8
../datasets_2/kemerer.arff   MAE                       46.3696         1    9
../datasets_2/kemerer.arff   Median Absolute Error     53.1889         1    9
../datasets_2/kemerer.arff   RMSE                      56.0081         1    9
../datasets_2/kemerer.arff   R2 Score                   0.745043       1    9
../datasets_2/kemerer.arff   MAE                       75.3778         2    9
../datasets_2/kemerer.arff   Median Absolute Error     67.5111         2    9
../datasets_2/kemerer.arff   RMSE                      84.0839         2    9
../datasets_2/kemerer.arff   R2 Score                   0.152805       2    9
../datasets_2/cocomo81.arff  MAE                      153.81           1    3
../datasets_2/cocomo81.arff  Median Absolute Error    100.667          1    3
../datasets_2/cocomo81.arff  RMSE                     215.64           1    3
../datasets_2/cocomo81.arff  R2 Score                  -1.53508        1    3
../datasets_2/cocomo81.arff  MAE                      351.744          2    3
../datasets_2/cocomo81.arff  Median Absolute Error    223.333          2    3
../datasets_2/cocomo81.arff  RMSE                     508.478          2    3
