Dataset                      Metric                   metric valor    p    k
../datasets_2/albrecht.arff  Median Absolute Error      2.57778       2    9
../datasets_2/albrecht.arff  RMSE                       9.47755       2    9
../datasets_2/albrecht.arff  R2 Score                  -0.0179228     2    9
../datasets_2/kemerer.arff   MAE                       11.5222        1    3
../datasets_2/kemerer.arff   Median Absolute Error     12.2667        1    3
../datasets_2/kemerer.arff   RMSE                      14.4613        1    3
../datasets_2/kemerer.arff   R2 Score                   0.967668      1    3
../datasets_2/kemerer.arff   MAE                       11.5222        2    3
../datasets_2/kemerer.arff   Median Absolute Error     12.2667        2    3
../datasets_2/kemerer.arff   RMSE                      14.4613        2    3
../datasets_2/kemerer.arff   R2 Score                   0.967668      2    3
../datasets_2/kemerer.arff   MAE                       46.4417        1    4
../datasets_2/kemerer.arff   Median Absolute Error     44.6           1    4
../datasets_2/kemerer.arff   RMSE                      46.7229        1    4
../datasets_2/kemerer.arff   R2 Score                   0.662494      1    4
../datasets_2/kemerer.arff   MAE                       46.4417        2    4
../datasets_2/kemerer.arff   Median Absolute Error     44.6           2    4
../datasets_2/kemerer.arff   RMSE                      46.7229        2    4
../datasets_2/kemerer.arff   R2 Score                   0.662494      2    4
../datasets_2/kemerer.arff   MAE                       53.56          1    5
../datasets_2/kemerer.arff   Median Absolute Error     59             1    5
../datasets_2/kemerer.arff   RMSE                      56.1166        1    5
../datasets_2/kemerer.arff   R2 Score                   0.513139      1    5
../datasets_2/kemerer.arff   MAE                       57.8067        2    5
../datasets_2/kemerer.arff   Median Absolute Error     59             2    5
../datasets_2/kemerer.arff   RMSE                      58.8681        2    5
../datasets_2/kemerer.arff   R2 Score                   0.464226      2    5
../datasets_2/kemerer.arff   MAE                       61.5783        1    6
../datasets_2/kemerer.arff   Median Absolute Error     75.8333        1    6
../datasets_2/kemerer.arff   RMSE                      66.4498        1    6
../datasets_2/kemerer.arff   R2 Score                   0.317333      1    6
../datasets_2/kemerer.arff   MAE                       61.5783        2    6
../datasets_2/kemerer.arff   Median Absolute Error     75.8333        2    6
../datasets_2/kemerer.arff   RMSE                      66.4498        2    6
../datasets_2/kemerer.arff   R2 Score                   0.317333      2    6
../datasets_2/kemerer.arff   MAE                       47.6481        1    7
../datasets_2/kemerer.arff   Median Absolute Error     46.1157        1    7
../datasets_2/kemerer.arff   RMSE                      50.0965        1    7
../datasets_2/kemerer.arff   R2 Score                   0.611996      1    7
../datasets_2/kemerer.arff   MAE                       47.6481        2    7
../datasets_2/kemerer.arff   Median Absolute Error     46.1157        2    7
../datasets_2/kemerer.arff   RMSE                      50.0965        2    7
../datasets_2/kemerer.arff   R2 Score                   0.611996      2    7
../datasets_2/kemerer.arff   MAE                       43.7463        1    8
../datasets_2/kemerer.arff   Median Absolute Error     36.8512        1    8
../datasets_2/kemerer.arff   RMSE                      47.8377        1    8
../datasets_2/kemerer.arff   R2 Score                   0.646195      1    8
../datasets_2/kemerer.arff   MAE                       43.7463        2    8
../datasets_2/kemerer.arff   Median Absolute Error     36.8512        2    8
../datasets_2/kemerer.arff   RMSE                      47.8377        2    8
../datasets_2/kemerer.arff   R2 Score                   0.646195      2    8
../datasets_2/kemerer.arff   MAE                       48.7263        1    9
../datasets_2/kemerer.arff   Median Absolute Error     44.2778        1    9
../datasets_2/kemerer.arff   RMSE                      54.4433        1    9
../datasets_2/kemerer.arff   R2 Score                   0.541741      1    9
../datasets_2/kemerer.arff   MAE                       48.7263        2    9
../datasets_2/kemerer.arff   Median Absolute Error     44.2778        2    9
../datasets_2/kemerer.arff   RMSE                      54.4433        2    9
../datasets_2/kemerer.arff   R2 Score                   0.541741      2    9
../datasets_2/cocomo81.arff  MAE                      319.649         1    3
../datasets_2/cocomo81.arff  Median Absolute Error     50             1    3
../datasets_2/cocomo81.arff  RMSE                     666.932         1    3
../datasets_2/cocomo81.arff  R2 Score                   0.852863      1    3
../datasets_2/cocomo81.arff  MAE                      325.751         2    3
../datasets_2/cocomo81.arff  Median Absolute Error     50             2    3
../datasets_2/cocomo81.arff  RMSE                     668.705         2    3
../datasets_2/cocomo81.arff  R2 Score                   0.85208       2    3
../datasets_2/cocomo81.arff  MAE                      275.308         1    4
../datasets_2/cocomo81.arff  Median Absolute Error     43.425         1    4
../datasets_2/cocomo81.arff  RMSE                     543.32          1    4
../datasets_2/cocomo81.arff  R2 Score                   0.90235       1    4
../datasets_2/cocomo81.arff  MAE                      272.383         2    4
../datasets_2/cocomo81.arff  Median Absolute Error     43.425         2    4
../datasets_2/cocomo81.arff  RMSE                     542.128         2    4
../datasets_2/cocomo81.arff  R2 Score                   0.902779      2    4
../datasets_2/cocomo81.arff  MAE                      319.277         1    5
../datasets_2/cocomo81.arff  Median Absolute Error     63.8           1    5
../datasets_2/cocomo81.arff  RMSE                     705.329         1    5
../datasets_2/cocomo81.arff  R2 Score                   0.835433      1    5
../datasets_2/cocomo81.arff  MAE                      319.277         2    5
../datasets_2/cocomo81.arff  Median Absolute Error     63.8           2    5
../datasets_2/cocomo81.arff  RMSE                     705.329         2    5
../datasets_2/cocomo81.arff  R2 Score                   0.835433      2    5
../datasets_2/cocomo81.arff  MAE                      335.74          1    6
../datasets_2/cocomo81.arff  Median Absolute Error     74.6667        1    6
../datasets_2/cocomo81.arff  RMSE                     771.329         1    6
../datasets_2/cocomo81.arff  R2 Score                   0.803194      1    6
../datasets_2/cocomo81.arff  MAE                      336.24          2    6
../datasets_2/cocomo81.arff  Median Absolute Error     74.6667        2    6
../datasets_2/cocomo81.arff  RMSE                     771.363         2    6
../datasets_2/cocomo81.arff  R2 Score                   0.803177      2    6
../datasets_2/cocomo81.arff  MAE                      364.251         1    7
../datasets_2/cocomo81.arff  Median Absolute Error     40.8286        1    7
../datasets_2/cocomo81.arff  RMSE                     910.917         1    7
../datasets_2/cocomo81.arff  R2 Score                   0.725516      1    7
../datasets_2/cocomo81.arff  MAE                      365.212         2    7
../datasets_2/cocomo81.arff  Median Absolute Error     46.4           2    7
../datasets_2/cocomo81.arff  RMSE                     910.988         2    7
../datasets_2/cocomo81.arff  R2 Score                   0.725473      2    7
../datasets_2/cocomo81.arff  MAE                      392.787         1    8
../datasets_2/cocomo81.arff  Median Absolute Error     41.1           1    8
../datasets_2/cocomo81.arff  RMSE                    1003.61          1    8
../datasets_2/cocomo81.arff  R2 Score                   0.666813      1    8
../datasets_2/cocomo81.arff  MAE                      390.767         2    8
../datasets_2/cocomo81.arff  Median Absolute Error     41.1           2    8
../datasets_2/cocomo81.arff  RMSE                    1003.26          2    8
../datasets_2/cocomo81.arff  R2 Score                   0.667045      2    8
../datasets_2/cocomo81.arff  MAE                      398.656         1    9
../datasets_2/cocomo81.arff  Median Absolute Error     42.4222        1    9
../datasets_2/cocomo81.arff  RMSE                    1035.78          1    9
../datasets_2/cocomo81.arff  R2 Score                   0.645111      1    9
../datasets_2/cocomo81.arff  MAE                      401.118         2    9
../datasets_2/cocomo81.arff  Median Absolute Error     42.4222        2    9
../datasets_2/cocomo81.arff  RMSE                    1036.25          2    9
../datasets_2/cocomo81.arff  R2 Score                   0.644785      2    9
../datasets_2/china.arff     MAE                      361.433         1    3
../datasets_2/china.arff     Median Absolute Error    138.833         1    3
../datasets_2/china.arff     RMSE                     643.796         1    3
../datasets_2/china.arff     R2 Score                   0.98685       1    3
../datasets_2/china.arff     MAE                      358.927         2    3
../datasets_2/china.arff     Median Absolute Error    128.5           2    3
../datasets_2/china.arff     RMSE                     659.131         2    3
../datasets_2/china.arff     R2 Score                   0.986216      2    3
../datasets_2/china.arff     MAE                      370.3           1    4
../datasets_2/china.arff     Median Absolute Error    145.125         1    4
